year,movie_name,world_box_office,domestic_box_office,domestic_percentage,foreign_box_office,foreign_percentage
2004,13 Going on 30,"$96,455,697","$57,231,747",59.3%,"$39,223,950",40.7%
2004,The Manchurian Candidate,"$96,105,910","$65,955,630",68.6%,"$30,150,280",31.4%
2004,Secret Window,"$92,913,171","$48,022,900",51.7%,"$44,890,271",48.3%
2004,House of Flying Daggers,"$92,863,945","$11,050,094",11.9%,"$81,813,851",88.1%
2004,Downfall,"$92,181,574","$5,509,040",6%,"$86,672,534",94%
2004,Anchorman: The Legend of Ron Burgundy,"$90,649,730","$85,288,303",94.1%,"$5,361,427",5.9%
2004,Catwoman,"$82,102,379","$40,202,379",49%,"$41,900,000",51%
2004,The Chorus,"$82,032,134","$2,087,128",2.5%,"$79,945,006",97.5%
2004,Exorcist: The Beginning,"$78,110,021","$41,821,986",53.5%,"$36,288,035",46.5%
2004,The Ladykillers,"$76,665,191","$39,799,191",51.9%,"$36,866,000",48.1%
2004,(T)Raumschiff Surprise - Periode 1,"$76,341,401",-,-,"$76,341,401",100%
2004,Tae Guk Gi: The Brotherhood of War,"$76,287,982","$1,111,061",1.5%,"$75,176,921",98.5%
2004,Eternal Sunshine of the Spotless Mind,"$74,036,715","$34,400,301",46.5%,"$39,636,414",53.5%
2004,Crying Out Love in the Center of the World,"$73,611,055",-,-,"$73,611,055",100%
2004,Without a Paddle,"$73,029,190","$58,169,327",79.7%,"$14,859,863",20.3%
2004,Around the World in 80 Days,"$72,178,895","$24,008,137",33.3%,"$48,170,758",66.7%
2004,Anacondas: The Hunt for the Blood Orchid,"$70,992,898","$32,238,923",45.4%,"$38,753,975",54.6%
2004,Taxi 2004 Re-release,"$70,778,329","$36,611,066",51.7%,"$34,167,263",48.3%
2004,A Cinderella Story,"$70,067,909","$51,438,175",73.4%,"$18,629,734",26.6%
2004,A Very Long Engagement,"$69,424,389","$6,524,389",9.4%,"$62,900,000",90.6%
2004,Barbershop 2: Back in Business,"$65,991,448","$65,111,277",98.7%,"$880,171",1.3%
2004,Taking Lives,"$65,470,529","$32,682,342",49.9%,"$32,788,187",50.1%
2004,Miracle,"$64,445,708","$64,378,093",99.9%,"$67,615",0.1%
2004,After the Sunset,"$62,657,868","$28,331,233",45.2%,"$34,326,635",54.8%
2004,Two Brothers,"$62,172,050","$19,176,754",30.8%,"$42,995,296",69.2%
2004,Friday Night Lights,"$61,950,770","$61,255,921",98.9%,"$694,849",1.1%
2004,In Good Company,"$61,315,215","$45,806,659",74.7%,"$15,508,556",25.3%
2004,Sky Captain and the World of Tomorrow,"$57,947,036","$37,762,677",65.2%,"$20,184,359",34.8%
2004,Cellular,"$57,678,321","$32,003,620",55.5%,"$25,674,701",44.5%
2004,The Motorcycle Diaries,"$57,663,224","$16,781,387",29.1%,"$40,881,837",70.9%
2004,Seven Dwarves,"$57,410,311",-,-,"$57,410,311",100%
2004,Walking Tall,"$57,223,890","$46,437,717",81.2%,"$10,786,173",18.8%
2004,Spanglish,"$55,470,154","$42,726,869",77%,"$12,743,285",23%
2004,The Punisher,"$54,700,105","$33,810,189",61.8%,"$20,889,916",38.2%
2004,Open Water,"$54,683,487","$30,610,863",56%,"$24,072,624",44%
2004,Team America: World Police,"$50,826,898","$32,786,074",64.5%,"$18,040,824",35.5%
2004,You Got Served,"$50,576,805","$40,363,810",79.8%,"$10,212,995",20.2%
2004,Raising Helen,"$49,718,611","$37,486,512",75.4%,"$12,232,099",24.6%
2004,Fat Albert,"$48,551,322","$48,116,322",99.1%,"$435,000",0.9%
2004,Be with You,"$46,616,207",-,-,"$46,616,207",100%
2004,Napoleon Dynamite,"$46,118,097","$44,540,956",96.6%,"$1,577,141",3.4%
2004,The Sea Inside,"$43,685,449","$2,104,923",4.8%,"$41,580,526",95.2%
2004,Wimbledon,"$41,682,237","$17,001,133",40.8%,"$24,681,104",59.2%
2004,Twisted,"$40,954,603","$25,198,598",61.5%,"$15,756,005",38.5%
2004,Bad Education,"$40,350,837","$5,211,842",12.9%,"$35,138,995",87.1%
2004,Crimson Rivers 2: Angels of the Apocalypse,"$40,152,148","$152,148",0.4%,"$40,000,000",99.6%
2004,The Prince and Me,"$37,666,766","$28,176,497",74.8%,"$9,490,269",25.2%
2004,Garden State,"$35,825,316","$26,782,316",74.8%,"$9,043,000",25.2%
2004,Jersey Girl,"$35,492,921","$25,268,157",71.2%,"$10,224,764",28.8%
2004,Alfie,"$35,060,882","$13,399,812",38.2%,"$21,661,070",61.8%
2004,Flight of the Phoenix,"$35,021,497","$21,009,180",60%,"$14,012,317",40%
2004,The Life Aquatic with Steve Zissou,"$34,808,403","$24,020,403",69%,"$10,788,000",31%
2004,Pokémon the Movie: Destiny Deoxys,"$34,337,258",-,-,"$34,337,258",100%
2004,Hotel Rwanda,"$33,882,243","$23,530,892",69.4%,"$10,351,351",30.6%
2004,Confessions of a Teenage Drama Queen,"$33,251,890","$29,331,068",88.2%,"$3,920,822",11.8%
2004,Night Watch,"$32,396,890",-,-,"$32,396,890",100%
2004,Johnson Family Vacation,"$31,326,183","$31,203,964",99.6%,"$122,219",0.4%
2004,The Girl Next Door,"$30,381,722","$14,589,444",48%,"$15,792,278",52%
2004,Godsend,"$30,120,671","$14,379,751",47.7%,"$15,740,920",52.3%
2004,Shaun of the Dead,"$30,076,102","$13,542,874",45%,"$16,533,228",55%
2004,Yu-Gi-Oh!: The Movie - Pyramid of Light,"$29,144,802","$19,765,868",67.8%,"$9,378,934",32.2%
2004,Agent Cody Banks 2: Destination London,"$28,818,995","$23,630,159",82%,"$5,188,836",18%
2004,Thunderbirds,"$28,283,637","$6,880,917",24.3%,"$21,402,720",75.7%
