primary_classification,Secondary_classification,product_name,product_low_price,product_average_price,product_high_price,special_info,place_of_origin,unit_info,public_time
水产,海水鱼,金鲳鱼,18.0,18.0,18.0,500g-650g,,斤,2022-07-07
水产,其他类,白虾,14.0,15.0,16.0,鲜,,斤,2022-07-07
水产,其他类,白虾（笼装）,25.0,25.5,26.0,21-24头,,斤,2022-07-07
水产,其他类,白虾（笼装）,22.0,23.0,24.0,26-30头,,斤,2022-07-07
水产,其他类,小龙虾,20.0,22.5,25.0,活,,斤,2022-07-07
水产,其他类,鲍鱼,10.0,10.0,10.0,6-7头,,个,2022-07-07
水产,其他类,鲍鱼,7.0,7.5,8.0,8-9头,,个,2022-07-07
水产,其他类,鲍鱼,5.0,5.5,6.0,10-12头,,个,2022-07-07
水产,其他类,扇贝,45.0,46.0,47.0,>16cm/活,,斤,2022-07-07
水产,其他类,扇贝,28.0,28.0,28.0,10-12cm/活,,斤,2022-07-07
水产,其他类,扇贝,26.0,26.5,27.0,7-9cm/活,,斤,2022-07-07
水产,其他类,小红扇贝,7.0,8.0,9.0,活,,斤,2022-07-07
水产,其他类,钉螺,7.0,7.5,8.0,活,,斤,2022-07-07
水产,其他类,海螺,18.0,20.0,22.0,活（小）,,斤,2022-07-07
水产,其他类,海螺,22.0,24.0,26.0,活（中）,,斤,2022-07-07
水产,其他类,海螺,32.0,35.0,38.0,活（大）,,斤,2022-07-07
水产,其他类,蛏子,13.0,14.0,15.0,活,,斤,2022-07-07
水产,其他类,海虹,8.0,8.0,8.0,活,,斤,2022-07-07
水产,其他类,带子,16.0,16.0,16.0,活,,斤,2022-07-07
水产,其他类,生蚝,11.0,11.0,11.0,150g,,斤,2022-07-07
水产,其他类,生蚝,12.0,12.0,12.0,200g,,斤,2022-07-07
水产,其他类,黄蚬子,24.0,27.0,30.0,活,,斤,2022-07-07
水产,其他类,文蛤,12.0,12.5,13.0,活,,斤,2022-07-07
水产,其他类,白蛤,8.0,8.0,8.0,活,,斤,2022-07-07
水产,其他类,青蛤,13.0,13.0,13.0,活,,斤,2022-07-07
水产,其他类,花蛤,6.0,6.5,7.0,活,,斤,2022-07-07
水产,其他类,花蛤,8.0,8.5,9.0,活（无沙）,,斤,2022-07-07
水产,其他类,毛钳,8.0,8.5,9.0,,,斤,2022-07-07
水产,其他类,田螺,3.5,3.75,4.0,去尾,,斤,2022-07-07
水产,其他类,猫眼螺,15.0,16.0,17.0,活,,斤,2022-07-07
水产,其他类,甲鱼,48.0,48.0,48.0,仿野生,,斤,2022-07-07
水产,其他类,甲鱼,24.0,24.5,25.0,养殖,,斤,2022-07-07
水产,其他类,蚕蛹,40.0,40.0,40.0,活,,斤,2022-07-07
水产,其他类,牛蛙,10.0,10.5,11.0,活,,斤,2022-07-07
水产,其他类,海蜇头,6.0,7.0,8.0,腌渍,,斤,2022-07-07
水产,其他类,海蜇皮,10.0,10.0,10.0,腌渍,,斤,2022-07-07
水产,其他类,海蜇丝,6.0,6.5,7.0,腌渍,,斤,2022-07-07
豆制品,,北豆腐,2.5,2.5,2.5,屉,,斤,2022-07-07
豆制品,,南豆腐,2.3,2.3,2.3,屉,,斤,2022-07-07
豆制品,,白玉北豆腐,3.8,3.9,4.0,,,盒,2022-07-07
豆制品,,香香北豆腐,3.2,3.2,3.2,,,盒,2022-07-07
豆制品,,白玉南豆腐,5.5,5.5,5.5,,,盒,2022-07-07
豆制品,,豆腐丝,5.0,5.0,5.0,散,,斤,2022-07-07
豆制品,,精品豆腐丝,5.5,5.5,5.5,,,袋,2022-07-07
豆制品,,豆腐皮,4.9,4.95,5.0,散,,斤,2022-07-07
豆制品,,豆腐干,4.5,4.5,4.5,散,,斤,2022-07-07
豆制品,,精品豆腐干,4.5,4.5,4.5,,,袋,2022-07-07
豆制品,,豆腐泡,5.2,5.2,5.2,散,,斤,2022-07-07
豆制品,,精品豆腐泡,5.0,5.0,5.0,,,袋,2022-07-07
豆制品,,白玉内酯豆腐,2.2,2.2,2.2,,,盒,2022-07-07
豆制品,,香香内脂豆腐,1.5,1.5,1.5,,,盒,2022-07-07
