date,draw_number,main_number,supplementary
29 June 2021,1428,['8', '26', '37', '7', '19', '36', '12'],['15', '40']
22 June 2021,1427,['20', '27', '21', '43', '17', '5', '10'],['4', '6']
15 June 2021,1426,['19', '18', '11', '36', '23', '27', '45'],['29', '12']
8 June 2021,1425,['8', '9', '33', '7', '16', '14', '45'],['24', '15']
1 June 2021,1424,['10', '1', '27', '39', '42', '20', '31'],['40', '3']
